"Semana epidemiológica",Ano,"Produção"
1,2021,1
1,2022,14
2,2020,0
2,2021,0
2,2022,57
3,2020,0
3,2021,1
3,2022,120
4,2020,0
4,2021,1
4,2022,86
5,2020,0
5,2021,6
5,2022,48
6,2020,0
6,2021,0
6,2022,18
7,2020,0
7,2021,1
7,2022,38
8,2020,0
8,2021,0
8,2022,7
9,2020,0
9,2021,2
9,2022,3
10,2020,0
10,2021,0
10,2022,1
11,2020,0
11,2021,0
11,2022,0
12,2020,0
12,2021,5
12,2022,0
13,2020,22
13,2021,3
13,2022,1
14,2020,1
14,2021,2
14,2022,0
15,2020,1
15,2021,1
15,2022,0
16,2020,1
16,2021,0
16,2022,0
17,2020,1
17,2021,3
17,2022,1
18,2020,1
18,2021,2
18,2022,0
19,2020,2
19,2021,1
19,2022,2
20,2020,2
20,2021,1
20,2022,3
21,2020,1
21,2021,0
21,2022,2
22,2020,3
22,2021,1
22,2022,5
23,2020,0
23,2021,1
23,2022,11
24,2020,1
24,2021,2
24,2022,5
25,2020,0
25,2021,2
25,2022,31
26,2020,0
26,2021,5
26,2022,19
27,2020,0
27,2021,2
27,2022,12
28,2020,1
28,2021,0
28,2022,5
29,2020,1
29,2021,1
29,2022,4
30,2020,3
30,2021,1
30,2022,2
31,2020,5
31,2021,3
31,2022,1
32,2020,1
32,2021,4
32,2022,0
33,2020,2
33,2021,3
33,2022,0
34,2020,1
34,2021,2
34,2022,0
35,2020,1
35,2021,2
35,2022,0
36,2020,3
36,2021,0
36,2022,0
37,2020,5
37,2021,1
37,2022,0
38,2020,0
38,2021,0
38,2022,0
39,2020,2
39,2021,0
39,2022,0
40,2020,4
40,2021,0
40,2022,0
41,2020,1
41,2021,0
41,2022,0
42,2020,2
42,2021,0
42,2022,0
43,2020,0
43,2021,0
43,2022,0
44,2020,0
44,2021,0
44,2022,0
45,2020,0
45,2021,0
45,2022,0
46,2020,0
46,2021,0
46,2022,6
47,2020,4
47,2021,0
47,2022,9
48,2020,2
48,2021,0
48,2022,8
49,2020,0
49,2021,0
49,2022,12
50,2020,1
50,2021,0
50,2022,12
51,2020,2
51,2021,0
51,2022,4
52,2020,0
52,2021,0
52,2022,1
53,2020,0
